frame,site,drive,pose,landing_x,landing_y,landing_z,northing,easting,planetocentric_latitude,planetodetic_latitude,longitude,elevation,map_pixel_line,map_pixel_sample,dem_pixel_line,dem_pixel_sample,roll,pitch,yaw,quat_s,quat_v1,quat_v2,quat_v3,areoid,radius,sclk,sol
ROVER,26,6512,-1,337.578,-2759.821,-42.563,1093637.273,4351734.265,18.450322284,18.346169209,77.401798372,-2527.347,4050.91,2617.06,1012.73,654.26,7.398,0.741,-55.194,0.884171100,0.060163427,-0.024167484,-0.462642100,3394505.811,3391978.464,716216412,555
ROVER,26,6530,-1,337.653,-2759.755,-42.557,1093637.348,4351734.331,18.450323552,18.346169209,77.401799553,-2527.353,4050.61,2617.32,1012.65,654.33,2.578,7.318,-119.894,0.498410730,0.066464660,0.012518971,-0.864298800,3394505.811,3391978.458,716216578,555
ROVER,26,6534,-1,337.659,-2759.746,-42.545,1093637.354,4351734.340,18.450323659,18.346169209,77.401799715,-2527.365,4050.58,2617.36,1012.65,654.34,2.908,7.402,-118.818,0.506269450,0.068439400,0.011040302,-0.859584450,3394505.811,3391978.446,716216645,555
SITE,27,-1,-1,337.659,-2759.746,-42.545,1093637.354,4351734.340,18.450323657,18.346169209,77.401799709,-2527.365,4050.58,2617.36,1012.65,654.34,0.000,-0.000,0.000,1.000000000,0.000000000,0.000000000,0.000000000,3394505.811,3391978.446,716219345,555
ROVER,27,6,-1,337.660,-2759.746,-42.546,1093637.355,4351734.340,18.450323666,18.346169209,77.401799708,-2527.364,4050.58,2617.36,1012.65,654.34,5.622,5.013,-88.840,0.711186950,0.065565884,-0.003088798,-0.699931900,3394505.811,3391978.447,716306939,556
ROVER,27,12,-1,337.707,-2759.685,-42.543,1093637.402,4351734.401,18.450324470,18.346169209,77.401800788,-2527.367,4050.39,2617.60,1012.60,654.40,6.726,3.130,-73.323,0.799542100,0.063316800,-0.013138209,-0.597118740,3394505.811,3391978.443,716306976,556
ROVER,27,24,-1,340.271,-2766.731,-42.889,1093639.966,4351727.355,18.450367726,18.346169209,77.401675476,-2527.021,4040.14,2589.42,1010.03,647.36,5.201,5.315,-78.683,0.770420970,0.064411170,0.007091147,-0.634233800,3394505.806,3391978.784,716307227,556
ROVER,27,30,-1,340.271,-2766.731,-42.889,1093639.966,4351727.355,18.450367726,18.346169209,77.401675476,-2527.021,4040.14,2589.42,1010.03,647.36,4.073,6.275,-90.987,0.698109686,0.063878663,0.013037584,-0.713016391,3394505.806,3391978.784,716307288,556
ROVER,27,34,-1,340.272,-2766.701,-42.880,1093639.967,4351727.385,18.450367735,18.346169209,77.401676007,-2527.030,4040.13,2589.54,1010.03,647.39,4.101,6.425,-90.545,0.700757027,0.064931266,0.014034109,-0.710300326,3394505.806,3391978.776,716307303,556
ROVER,27,40,-1,340.292,-2767.590,-42.998,1093639.987,4351726.496,18.450368084,18.346169209,77.401660198,-2526.912,4040.05,2585.98,1010.01,646.50,5.443,8.330,-91.192,0.694616140,0.084963640,0.016927190,-0.714144950,3394505.805,3391978.893,716307360,556
